Date,Line,Species,bacteria_label,Temp,Well_Endpoint,FC
09_14_2022,HNO919,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,0.8404351767905712
09_20_2022,HNO918,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,24,1.109375
09_20_2022,HNO918,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,48,30.65861027190332
09_20_2022,HNO918,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,24,1.9044117647058825
09_20_2022,HNO918,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,48,1.5977443609022557
09_20_2022,HNO918,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.6335403726708075
09_20_2022,HNO918,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,1.5537190082644627
09_21_2022,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,24,1.0690909090909093
09_21_2022,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,48,1.2132352941176472
09_21_2022,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,24,1.135593220338983
09_21_2022,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,48,1.6948640483383688
09_21_2022,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.552870090634441
09_21_2022,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,1.208904109589041
09_27_2023,HNO919,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,24,0.9839228295819936
09_27_2023,HNO919,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,48,1.8671679197994988
09_27_2023,HNO919,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,24,1.2442996742671009
09_27_2023,HNO919,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,37,48,1.8498727735368954
09_27_2023,HNO919,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,24,0.875
09_27_2023,HNO919,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,48,1.4087301587301586
09_27_2023,HNO919,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,24,1.0310344827586206
09_27_2023,HNO919,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,37,48,1.3581081081081081
09_27_2023,HNO919,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.6336633663366338
09_27_2023,HNO919,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,37,48,0.9537037037037036
